model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,69.859981,1.741571,67.842331,73.394096,70.438518,70.435838,73.394096,71.420934,69.877430,70.300566,68.477139,68.378303,67.842331,68.034652,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,76.254855,1.030371,73.852520,77.473202,73.852520,75.451901,75.939831,76.667229,77.473202,77.157070,76.614221,76.043348,76.524436,76.824792,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,71.241576,1.125557,69.270679,72.498242,71.977885,70.440476,71.867416,71.229690,72.314792,71.122541,69.645933,72.048106,72.498242,69.270679,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,70.707912,1.163338,69.231117,72.771385,71.256405,71.068592,71.674787,72.771385,70.917557,71.368524,69.231117,69.253850,69.679734,69.857165,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,71.191091,1.980163,67.827893,74.208320,70.904431,70.619820,70.999828,71.199913,74.208320,72.619612,70.542958,73.921530,69.066609,67.827893,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,74.262577,1.037117,72.690428,76.214708,74.113886,73.679489,74.109996,75.617722,73.993175,76.214708,74.018649,73.391278,74.796437,72.690428,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,72.623731,0.828995,71.389220,74.317616,74.317616,73.556069,71.389220,72.571032,72.450164,71.959407,72.129457,72.263012,72.875851,72.725484,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,71.549897,1.806518,70.041898,74.434984,70.588576,70.168340,70.382159,70.125293,70.041898,70.072952,73.182576,74.434984,72.273172,74.229017,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,53.989608,1.905902,50.826656,56.304906,56.304906,55.967265,54.715878,55.598170,52.986771,54.230319,51.026483,50.826656,54.580023,53.659605,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,54.924991,0.816274,52.878855,56.082225,55.362307,56.082225,55.165937,55.045604,54.928492,54.705722,55.102945,55.232929,54.744898,52.878855,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,55.514769,1.128847,53.315425,57.467356,53.315425,56.308020,57.467356,56.344868,55.678823,55.899295,55.328209,54.527530,55.008420,55.269739,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,51.233532,0.859984,50.432377,52.757319,51.000862,51.041449,50.720729,50.478194,50.432377,52.047956,50.870148,50.534574,52.757319,52.451713,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,56.307350,1.166523,54.312193,57.693529,57.509715,56.373711,54.312193,56.034597,54.667421,55.547046,57.009210,56.646442,57.693529,57.279641,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,90.159343,3.985236,84.129793,95.194916,84.906633,91.095782,93.909543,92.747801,87.482347,95.194916,93.565888,86.863920,91.696805,84.129793,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,87.757412,5.484263,80.375080,95.661210,91.663152,91.688757,88.041214,80.709020,82.919451,84.649955,95.661210,94.097162,87.769117,80.375080,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,53.626195,0.915469,52.376625,55.582588,55.582588,53.887014,53.667612,53.072627,54.178860,53.923931,53.012927,53.899406,52.660359,52.376625,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,84.413499,1.832667,82.271484,87.346404,82.723040,82.727751,82.271484,82.464230,84.532461,84.538541,86.764782,85.606788,87.346404,85.159512,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,98.274236,6.433225,90.562623,105.887161,92.189600,90.562623,105.669348,96.851528,105.887161,94.828705,92.185243,94.194221,105.462191,104.911744,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,99.394351,2.182745,95.161258,103.973368,95.161258,99.607752,99.666867,99.097100,100.376862,98.944141,98.345922,98.514106,100.256138,103.973368,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,96.607120,6.159374,88.830576,105.589391,98.519233,90.268291,88.830576,88.999680,91.218628,100.267119,100.763827,99.468640,105.589391,102.145818,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,87.444441,2.801457,82.941297,91.495896,89.204294,88.844545,91.495896,86.749455,85.554268,89.057265,89.762273,87.495743,83.339378,82.941297,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,97.441388,6.165453,91.907447,107.670483,95.087207,92.009858,91.907447,107.670483,93.788223,93.734099,93.208296,96.479071,103.946875,106.582320,DONE,
MaskRCNN-12_basic.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,basic,CPUExecutionProvider,5,10,93.096824,5.276748,88.106991,101.113951,100.235954,89.006444,89.806320,91.129192,101.113951,100.327157,89.522155,92.267878,89.452195,88.106991,DONE,
MaskRCNN-12_extended.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,extended,CPUExecutionProvider,5,10,90.421136,4.399036,87.842858,102.581180,88.354097,102.581180,90.662756,88.623006,88.095678,87.842858,88.320745,89.753173,90.839221,89.138642,DONE,
