model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
beit_large_patch16_224_Opset17_basic.onnx,beit_large_patch16_224_Opset17.onnx,onnxmodelzoo/beit_large_patch16_224_Opset17,beit_large_patch16_224_Opset17.onnx,basic,CPUExecutionProvider,5,10,135.043353,4.208799,131.791393,143.673714,140.521271,135.737114,143.673714,137.343331,131.791393,132.492059,132.427086,132.220320,131.891552,132.335687,DONE,
beit_large_patch16_224_Opset17_extended.onnx,beit_large_patch16_224_Opset17.onnx,onnxmodelzoo/beit_large_patch16_224_Opset17,beit_large_patch16_224_Opset17.onnx,extended,,0,0,,,,,,,,,,,,,,,FAILED,[Errno 2] No such file or directory: '/scratch/snarsipu/onnx-predict/inference/logs/3/download_tmp/beit_large_patch16_224_Opset17.onnx'
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,40.334810,6.384751,33.575601,51.684678,34.428585,34.828150,51.684678,44.015793,43.665391,33.575601,34.828473,44.679612,35.679886,45.961929,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,48.883033,4.819288,38.677652,57.842991,50.925895,52.276735,48.272169,49.295453,38.677652,48.429380,49.331634,46.827064,46.951362,57.842991,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,49.090140,8.421898,35.677602,58.025160,56.092450,38.581291,40.204630,58.025160,53.029578,35.677602,56.321739,47.272104,48.329893,57.366951,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,29.967091,1.157594,27.940645,31.315688,31.085257,31.232218,31.315688,30.463939,30.551741,29.770093,29.627931,28.907466,28.775934,27.940645,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,36.957699,7.847397,31.331936,53.201630,41.788781,31.331936,31.538719,31.427220,53.201630,41.044814,31.349009,45.068451,31.429531,31.396903,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,31.187772,1.861653,29.444114,34.283054,31.972129,34.249202,34.283054,32.114901,30.112953,30.181929,30.028007,29.907644,29.583783,29.444114,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,38.021540,5.022035,33.749989,46.499700,33.749989,46.499700,43.663730,34.779382,34.763632,34.895651,35.275785,45.418440,35.584892,35.584203,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,47.155893,14.854097,34.171408,84.376804,54.090662,43.126276,53.038557,42.739724,35.865915,41.633435,84.376804,47.809330,34.706820,34.171408,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,28.640219,5.944189,24.626279,38.167200,25.525033,25.049653,36.676848,38.167200,24.751949,24.883713,24.958789,24.626279,36.844292,24.918432,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,37.968749,4.365816,26.048532,41.135351,39.034931,38.995182,38.924807,39.098462,26.048532,36.601072,39.395029,39.541929,40.912197,41.135351,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,30.157847,1.842064,27.843264,34.549038,30.909421,30.560632,30.267058,29.796194,30.009745,29.816858,34.549038,29.859780,27.843264,27.966484,DONE,
