model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,45.410397,1.685742,44.429644,49.742935,44.831806,44.729648,44.691257,44.609429,44.583793,44.717800,44.817379,46.950283,49.742935,44.429644,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,46.925782,1.597219,45.695886,50.189073,46.286890,46.941033,46.527607,45.812530,46.581661,45.794269,45.932684,45.695886,50.189073,49.496190,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,45.711876,0.473845,45.054402,46.560841,45.845592,46.165816,45.841248,45.901686,45.426173,45.878988,45.194174,46.560841,45.249840,45.054402,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,45.990258,0.747604,45.320543,47.976291,45.716766,45.791799,45.908645,45.406540,45.790720,46.093157,45.702085,45.320543,46.196034,47.976291,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,45.490074,1.730228,44.592474,49.840180,44.609535,44.754867,44.954293,49.840180,47.277606,44.600902,44.849139,44.702066,44.719679,44.592474,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,47.246192,2.128605,45.714257,52.097779,46.400915,46.451047,46.578429,46.681846,45.960009,45.741651,45.714257,50.167081,52.097779,46.668909,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,46.482592,2.712009,44.928199,53.300882,45.007707,44.928199,45.318370,45.138219,44.948959,45.644074,49.226643,53.300882,45.685206,45.627657,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,46.749706,2.917319,45.649479,55.037993,45.765204,45.708137,45.892642,45.685518,45.739131,55.037993,45.844664,45.649479,45.927387,46.246903,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,31.175695,0.169330,30.818195,31.386267,31.311832,31.133929,31.159504,30.818195,31.386267,31.117274,31.104100,31.370187,31.275279,31.080383,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,32.345103,2.434765,30.766792,38.962928,31.568414,31.575541,38.962928,33.262563,32.241450,31.753777,31.240474,31.179691,30.766792,30.899402,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,31.149404,0.404027,30.640963,31.769381,31.589095,31.532732,31.464637,30.845106,31.769381,30.804509,30.958282,30.779287,31.110045,30.640963,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,30.684746,0.185934,30.509712,31.088653,30.566026,30.610304,31.088653,30.533397,30.570326,30.805782,30.670208,30.509712,30.886591,30.606465,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,32.193141,0.291259,31.532268,32.624511,32.074207,32.201835,32.166066,32.472815,32.132121,32.112275,32.624511,32.233528,32.381785,31.532268,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,57.154903,0.296270,56.824886,57.611494,57.385386,56.963838,57.501389,56.824886,57.268327,56.948594,57.611494,57.329757,56.868355,56.847000,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,57.182943,0.281337,56.840850,57.748383,57.039737,57.149157,57.748383,57.238620,57.189615,56.910324,57.570415,57.097300,56.840850,57.045027,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,32.429302,0.475069,32.210585,33.770264,32.262816,32.277432,32.327601,32.212869,32.354326,32.237151,32.210585,32.393431,32.246541,33.770264,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,52.334569,0.344180,51.884088,52.706214,52.075923,52.512574,51.884088,52.706214,52.591208,52.625862,52.694932,52.410239,51.909892,51.934758,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,59.983680,0.363812,59.624803,60.796542,59.852985,60.179923,59.750621,59.838614,59.821953,59.624803,59.696508,60.377057,60.796542,59.897798,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,59.799874,0.312219,59.479310,60.340508,59.967960,59.659869,60.340508,59.483764,59.518122,59.741584,59.728920,59.479310,60.296240,59.782464,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,59.486477,0.606101,58.722541,60.926867,59.305182,59.065959,59.610253,58.722541,58.929141,59.675651,59.751350,60.926867,59.468801,59.409025,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,52.929510,0.573626,52.565341,54.524714,54.524714,52.830689,52.950788,52.755947,52.609766,52.565341,52.860912,52.718280,52.839037,52.639624,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,61.061382,2.048002,59.580347,66.013613,66.013613,63.498252,60.195958,60.313845,60.325972,59.580347,60.202630,60.277017,59.938036,60.268145,DONE,
MaskRCNN-12_basic.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,basic,CPUExecutionProvider,5,10,60.238679,1.605975,58.937632,63.983904,59.580386,62.330635,63.983904,59.652625,59.440495,59.350013,59.525077,59.735619,59.850404,58.937632,DONE,
MaskRCNN-12_extended.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,extended,CPUExecutionProvider,5,10,59.762024,1.771153,58.755737,64.746392,64.746392,59.309647,59.360429,59.615202,58.755737,58.884877,58.963890,59.338988,59.415238,59.229843,DONE,
MaskRCNN-12-int8.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,36.718212,0.350163,36.308026,37.344248,36.725471,36.602453,36.494201,36.355843,36.878484,36.429186,36.308026,36.857048,37.344248,37.187159,DONE,
MaskRCNN-12-int8_disable_all.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,37.689147,0.281218,37.246628,38.192651,37.648633,37.716517,37.595031,37.672704,37.569000,38.192651,37.661349,37.467755,37.246628,38.121204,DONE,
MaskRCNN-12-int8_basic.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,38.315038,0.285552,37.889853,38.721396,37.889853,38.335190,38.377757,38.365235,38.639708,38.011985,37.926403,38.721396,38.420771,38.462085,DONE,
MaskRCNN-12-int8_extended.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,37.656403,0.431646,37.290453,38.786408,37.793670,37.476242,37.485754,37.474172,37.290453,37.609870,37.511717,37.806235,38.786408,37.329512,DONE,
MaskRCNN-12-qdq.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,33.391843,0.305557,33.082187,33.894895,33.403020,33.191163,33.569928,33.777772,33.626583,33.894895,33.136731,33.082187,33.128176,33.107973,DONE,
MaskRCNN-12-qdq_disable_all.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,68.204706,0.337978,67.630282,68.622950,68.274977,68.461779,68.128251,68.175502,68.171407,68.469118,67.649927,68.622950,67.630282,68.462867,DONE,
MaskRCNN-12-qdq_basic.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,68.631126,0.230028,68.260362,68.921626,68.921626,68.459068,68.260362,68.694121,68.299928,68.801768,68.625271,68.634287,68.707971,68.906859,DONE,
MaskRCNN-12-qdq_extended.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,33.261344,0.175514,33.062655,33.644780,33.339324,33.139855,33.284026,33.136642,33.112504,33.644780,33.176948,33.304763,33.062655,33.411943,DONE,
ResNet101-DUC-12.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,default,CPUExecutionProvider,5,10,3799.309700,5.950091,3792.759333,3811.672858,3796.744674,3797.880494,3794.516584,3794.230006,3795.574501,3802.167773,3792.759333,3811.672858,3802.457610,3805.093162,DONE,
ResNet101-DUC-12_disable_all.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,disable_all,CPUExecutionProvider,5,10,4618.386618,4.901491,4612.712863,4626.085271,4623.562021,4619.111814,4617.023802,4626.085271,4614.057620,4614.712645,4625.110289,4617.192284,4614.297568,4612.712863,DONE,
ResNet101-DUC-12_basic.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,basic,CPUExecutionProvider,5,10,4478.497464,3.120035,4472.813853,4483.525853,4478.704741,4479.320911,4483.525853,4476.166013,4476.356621,4479.949057,4482.344090,4476.986216,4478.807285,4472.813853,DONE,
ResNet101-DUC-12_extended.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,extended,CPUExecutionProvider,5,10,4446.646973,2.549661,4442.639536,4450.736225,4445.660014,4448.064285,4450.736225,4445.457015,4442.639536,4448.424559,4449.619558,4444.308853,4444.693600,4446.866089,DONE,
ResNet101-DUC-12-int8.onnx,ResNet101-DUC-12-int8.onnx,onnxmodelzoo/ResNet101-DUC-12-int8,ResNet101-DUC-12-int8.onnx,default,CPUExecutionProvider,5,10,1235.634473,4.189404,1232.268961,1243.807268,1234.541432,1243.807268,1232.948432,1236.374518,1233.040290,1242.354103,1235.878019,1232.335560,1232.796144,1232.268961,DONE,
