model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,103.149633,1.177100,101.978849,106.035355,103.041301,102.560267,103.215911,104.232784,102.643052,102.527399,102.793305,106.035355,101.978849,102.468102,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,106.892616,1.668791,105.405154,110.414450,105.629046,105.829775,108.058646,110.414450,108.039278,108.098064,105.958807,105.964193,105.528746,105.405154,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,104.601111,1.054028,103.414424,106.242741,103.529447,103.414424,104.978958,103.994707,103.875605,106.242741,106.065123,105.157577,103.615940,105.136589,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,103.109533,0.225979,102.829826,103.617277,103.146396,103.617277,103.320016,103.137368,102.829826,102.976938,103.140661,102.977001,102.926104,103.023748,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,105.528897,1.438327,104.396753,108.871144,104.923769,105.306055,104.396753,104.636968,104.797838,104.710803,104.697315,107.271977,108.871144,105.676352,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,105.712544,0.881442,104.685663,107.635278,104.851302,105.111985,104.685663,105.569494,107.635278,105.697298,105.800727,105.350547,105.721123,106.702027,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,105.212433,0.995862,103.834347,107.107239,106.191768,107.107239,105.504784,104.826260,105.437419,103.834347,104.284237,104.107458,105.531652,105.299168,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,103.739528,0.560314,103.016701,104.835853,104.835853,103.784646,103.657094,103.810714,103.629637,104.436821,103.783828,103.373567,103.016701,103.066419,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,71.567557,0.680287,70.642365,73.074302,72.039943,73.074302,71.339563,71.639182,71.674437,70.746036,70.642365,71.689021,71.490175,71.340545,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,72.295658,0.211993,72.005617,72.721566,72.302052,72.150474,72.179691,72.214862,72.721566,72.383690,72.381020,72.005617,72.105740,72.511871,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,72.416124,0.399928,71.924063,73.137757,72.626683,72.319964,72.209673,72.188755,72.657481,72.134618,72.918592,73.137757,71.924063,72.043655,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,72.533484,0.800766,71.577151,74.035944,74.035944,73.663790,72.628215,72.190088,72.146881,71.882289,71.577151,72.928604,72.420912,71.860966,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,74.241696,0.406358,73.832623,75.047590,73.936420,74.053541,74.219949,73.914972,75.047590,73.946130,74.159574,74.674786,74.631371,73.832623,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,118.049191,0.523190,117.111901,118.747591,118.462873,118.052493,117.393152,118.549517,118.088140,117.721407,118.747591,117.957738,117.111901,118.407095,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,120.231054,1.655343,117.416884,122.904101,119.419685,117.416884,119.060562,121.223071,119.973854,119.347180,122.904101,119.470340,121.218570,122.276291,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,73.885277,0.256702,73.537919,74.420822,74.420822,73.815428,73.645361,74.036231,73.827697,73.739773,73.814698,73.537919,73.864124,74.150712,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,131.268711,1.387033,130.264877,134.138359,130.264877,130.509788,130.871181,130.763919,134.138359,130.795068,130.270308,131.190557,133.514860,130.368190,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,141.216500,1.140617,139.848714,143.512409,141.275371,143.512409,141.520363,139.982012,139.917627,140.966996,141.890110,139.848714,142.078081,141.173322,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,138.730818,1.705672,137.195325,142.716350,140.289169,138.141286,137.990832,137.195325,137.797378,137.359182,139.698858,137.941536,138.178267,142.716350,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,138.488308,1.171341,137.325881,141.059831,137.829501,137.325881,137.544675,139.606620,139.212768,138.436019,141.059831,138.401632,137.991385,137.474766,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,130.806323,0.761999,129.918568,132.804768,130.427420,130.863325,130.394045,130.531959,130.813767,132.804768,130.591384,129.918568,130.855214,130.862782,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,144.456404,5.332915,139.707922,155.029383,139.952807,140.205046,143.031240,139.707922,142.027478,144.497030,140.601313,148.288985,155.029383,151.222838,DONE,
MaskRCNN-12_basic.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,basic,CPUExecutionProvider,5,10,139.178383,1.149818,137.333782,140.804541,140.804541,137.961661,137.333782,139.007886,138.984355,140.779362,138.393545,139.445291,138.905225,140.168182,DONE,
MaskRCNN-12_extended.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,extended,CPUExecutionProvider,5,10,138.447530,1.474090,137.235580,141.893642,137.524437,137.235580,137.383128,138.994647,139.852587,137.851994,138.000079,141.893642,137.265239,138.473971,DONE,
MaskRCNN-12-int8.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,101.277583,0.298539,100.828231,101.688643,101.688643,100.828231,101.163658,100.972387,101.046714,101.244395,101.562747,101.632591,101.491527,101.144941,DONE,
MaskRCNN-12-int8_disable_all.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,102.300826,0.307548,101.988069,103.097510,102.164865,103.097510,102.034262,102.414701,102.292999,102.327912,102.237523,101.988069,102.225491,102.224929,DONE,
MaskRCNN-12-int8_basic.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,102.051054,0.939132,101.197796,104.589408,101.772106,102.365414,104.589408,101.714791,102.001309,101.630583,101.819271,101.635793,101.197796,101.784071,DONE,
MaskRCNN-12-int8_extended.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,100.735914,0.356555,100.272686,101.509810,100.717257,100.629479,100.782674,101.509810,100.844219,100.272686,101.104133,100.527273,100.464923,100.506686,DONE,
MaskRCNN-12-qdq.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,85.484622,1.504286,84.084819,88.872147,86.809190,84.364522,88.872147,86.369443,85.043340,85.551104,85.123236,84.500764,84.084819,84.127653,DONE,
