model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,65.418981,0.444264,64.925594,66.146447,64.961614,65.203027,65.210948,65.832927,64.925594,66.094528,66.146447,65.340171,65.189137,65.285413,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,70.888517,1.643178,68.184295,73.241457,71.063535,70.935039,71.098144,73.241457,72.823189,70.986156,68.184295,68.326380,71.804921,70.422055,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,68.184909,1.164342,66.462992,69.553395,66.462992,69.092079,69.553395,68.737740,69.144267,68.632094,68.593264,68.395091,66.615836,66.622335,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,69.007489,1.519115,66.798134,71.003520,69.660604,71.003520,68.778441,68.450692,70.422359,67.454403,66.798134,67.100764,70.524706,69.881266,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,65.263130,0.480811,64.816287,66.278060,65.173297,64.929973,65.320850,65.697028,65.141357,65.631220,64.819716,64.823516,64.816287,66.278060,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,66.823504,0.227418,66.485940,67.217556,67.217556,66.663884,66.981204,66.924757,66.485940,66.543558,66.767501,67.023632,66.896836,66.730171,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,66.217005,0.451309,65.890905,67.198153,65.966502,66.006251,65.897114,65.890905,66.168386,66.013871,66.006451,66.128097,66.894323,67.198153,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,66.435359,0.150157,66.241019,66.622807,66.562199,66.540259,66.608117,66.308438,66.394285,66.241019,66.325736,66.241070,66.622807,66.509660,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,49.166765,0.179551,48.981918,49.513992,49.023548,49.229990,49.172843,49.398765,49.108825,49.513992,49.220851,49.026327,48.990589,48.981918,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,49.546093,0.143051,49.343485,49.859199,49.532578,49.343485,49.393833,49.615237,49.549258,49.453822,49.859199,49.625076,49.577167,49.511270,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,49.685066,0.212827,49.330583,49.990012,49.604995,49.807099,49.990012,49.835717,49.710831,49.600145,49.330583,49.427400,49.605134,49.938745,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,49.316574,0.232419,48.961102,49.700060,49.700060,49.322193,49.182707,49.499415,49.250954,49.407849,49.564274,49.029011,48.961102,49.248174,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,50.682142,0.616059,50.183072,52.205327,50.519171,50.251949,50.278099,50.282039,50.533590,50.183072,52.205327,50.583298,50.783582,51.201288,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,88.860858,3.432083,79.178914,90.541465,79.178914,89.199780,90.137939,90.541465,90.072341,89.524108,89.993783,90.401319,90.254165,89.304765,DONE,
