model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,26.733058,0.154963,26.424997,26.989592,26.809016,26.816772,26.696212,26.736186,26.660548,26.582790,26.842040,26.989592,26.772422,26.424997,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,28.205023,0.249364,27.827361,28.778841,28.282095,28.778841,28.189169,28.176415,28.130476,27.827361,28.220700,27.993456,28.346900,28.104815,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,27.378879,0.199718,26.882358,27.629083,27.376523,27.267133,27.439609,27.408770,27.534673,27.426050,27.629083,27.457281,27.367308,26.882358,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,27.955235,1.410857,26.744419,31.779969,27.222986,28.041914,27.712457,27.485469,28.273565,27.546022,26.744419,27.529891,31.779969,27.215658,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,26.585971,0.063857,26.478669,26.692625,26.599434,26.575481,26.692625,26.590408,26.478669,26.609407,26.562819,26.550159,26.673558,26.527147,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,27.579075,0.303379,27.082889,28.172198,27.674751,27.736353,27.617724,27.635601,27.455495,27.476915,27.735881,27.202941,27.082889,28.172198,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,27.301601,0.280346,26.657908,27.628675,26.657908,27.310921,27.224551,27.628675,27.048872,27.419980,27.341580,27.469682,27.347332,27.566510,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,27.468480,0.141997,27.324395,27.826788,27.525430,27.448730,27.495430,27.324395,27.494156,27.826788,27.439811,27.355881,27.370438,27.403746,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,22.171580,0.433078,21.666280,23.026869,22.334734,22.321161,22.267085,22.095852,21.706037,23.026869,22.588885,22.004942,21.703958,21.666280,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,22.694919,0.229937,22.466354,23.146766,22.585607,22.613418,23.084104,22.658717,22.681945,22.540450,22.597553,23.146766,22.466354,22.574277,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,22.702008,0.463804,22.256312,23.700494,22.749030,22.805739,22.431755,22.360953,22.441621,23.256553,22.298923,22.718698,23.700494,22.256312,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,22.034002,0.257200,21.716922,22.429028,22.093034,21.813568,21.831940,22.217591,21.898111,22.356669,21.784222,22.429028,21.716922,22.198932,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,23.196055,0.254540,22.995983,23.693623,23.088836,23.693623,23.048365,23.648083,22.995983,23.077929,23.116806,23.032087,23.160038,23.098798,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,39.421438,0.187125,39.150239,39.798880,39.798880,39.457327,39.464516,39.438132,39.404788,39.400488,39.587887,39.335389,39.150239,39.176732,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,40.006155,0.266112,39.801785,40.526114,39.969799,39.981912,39.801785,39.806810,39.910596,40.468878,39.877834,39.874685,39.843136,40.526114,DONE,
