model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,32.015815,0.358665,31.498516,32.608202,32.608202,31.696043,31.767554,32.294850,31.498516,31.924339,32.309008,32.288253,31.667656,32.103731,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,34.707593,0.215060,34.165674,34.939154,34.704742,34.912501,34.810333,34.756627,34.779031,34.165674,34.614697,34.700498,34.939154,34.692673,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,33.879623,0.091722,33.733382,34.085286,34.085286,33.923648,33.887134,33.830828,33.891172,33.813209,33.854338,33.733382,33.854615,33.922615,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,33.838522,0.081409,33.716141,33.984979,33.918248,33.877501,33.817591,33.716141,33.895057,33.984979,33.827431,33.817437,33.780470,33.750362,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,32.632931,1.148920,31.974537,35.612678,32.167363,32.552487,32.126981,32.006549,32.168873,32.131267,32.027108,31.974537,35.612678,33.561462,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,33.882334,0.385109,33.230799,34.478233,34.478233,34.109644,34.286651,34.034849,33.930312,33.695305,33.932486,33.230799,33.752853,33.372212,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,33.694339,0.240988,33.086442,33.971578,33.695525,33.767130,33.748711,33.636910,33.931589,33.971578,33.086442,33.773736,33.649892,33.681875,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,33.601607,0.207052,33.110401,33.782288,33.599263,33.771249,33.110401,33.665747,33.658501,33.782288,33.732099,33.636759,33.683534,33.376230,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,25.699231,0.724633,24.922235,27.610092,27.610092,25.661239,25.761968,25.492223,25.511665,25.708843,25.583389,24.922235,25.089754,25.650905,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,26.393048,1.368546,25.315252,29.749365,25.315252,25.905512,25.898030,25.469318,26.081329,25.999810,29.749365,27.836135,26.105255,25.570476,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,26.209890,1.563551,25.043835,29.770970,25.660069,25.506405,25.596384,29.770970,28.174547,26.481451,25.043835,25.740363,25.050255,25.074620,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,25.921825,1.389772,25.086055,29.585435,25.289622,25.909743,29.585435,26.849604,25.403900,25.290548,25.441666,25.123292,25.238388,25.086055,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,26.515649,0.099444,26.390942,26.706300,26.473767,26.584011,26.397395,26.477274,26.390942,26.473948,26.706300,26.625231,26.540875,26.486743,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,44.450218,0.272542,43.868354,44.740733,44.723784,44.461518,44.638258,43.868354,44.416737,44.740733,44.441136,44.532409,44.112909,44.566347,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,45.200840,0.174114,45.022820,45.521764,45.221687,45.445169,45.022820,45.047376,45.521764,45.280810,45.139485,45.060898,45.223213,45.045178,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,26.468823,0.125329,26.204453,26.635287,26.585170,26.471718,26.482068,26.635287,26.460352,26.496367,26.496050,26.204453,26.316132,26.540636,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,37.221470,0.155791,36.872762,37.435120,37.365372,37.335369,36.872762,37.153883,37.435120,37.162971,37.286302,37.249712,37.160851,37.192363,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,44.392456,0.218593,43.890254,44.609939,44.609939,44.532484,44.403556,44.520547,44.239867,44.599576,44.453927,44.432957,44.241456,43.890254,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,43.303419,0.076325,43.182732,43.403428,43.287172,43.359075,43.190384,43.403428,43.299763,43.380705,43.252329,43.322685,43.355921,43.182732,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,43.628117,0.239777,43.133538,44.071324,43.595392,43.656797,43.695246,43.544583,44.071324,43.548559,43.133538,43.690964,43.828619,43.516145,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,37.693449,0.161276,37.495602,37.989136,37.697203,37.989136,37.871919,37.495602,37.565503,37.608514,37.869783,37.606787,37.590928,37.639115,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,45.086649,1.811954,44.106646,49.800336,44.340250,44.157348,44.263310,44.244436,49.800336,46.455815,44.106646,44.177331,44.162139,45.158877,DONE,
MaskRCNN-12_basic.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,basic,CPUExecutionProvider,5,10,44.356820,1.097947,43.780490,47.318808,43.813800,44.123348,43.947000,43.973263,43.889935,47.318808,44.978104,43.822707,43.920747,43.780490,DONE,
MaskRCNN-12_extended.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,extended,CPUExecutionProvider,5,10,44.410020,1.287633,43.645767,46.924216,43.780558,43.871657,43.720016,43.645767,46.765339,46.924216,43.754782,44.023362,43.779605,43.834898,DONE,
MaskRCNN-12-int8.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,30.060778,0.258551,29.700263,30.410384,30.285070,30.410384,30.381478,29.783881,29.935028,29.700263,30.250722,29.860463,30.100920,29.899575,DONE,
MaskRCNN-12-int8_disable_all.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,30.588062,0.484123,29.963450,31.564124,31.564124,30.596528,30.538222,30.516512,30.388760,29.967882,29.963450,31.152979,30.683427,30.508737,DONE,
MaskRCNN-12-int8_basic.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,30.747491,0.238586,30.216380,30.950571,30.661016,30.216380,30.846552,30.881809,30.892804,30.882680,30.808580,30.888235,30.446287,30.950571,DONE,
MaskRCNN-12-int8_extended.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,30.755351,0.282642,30.234392,31.206439,30.779663,30.621368,31.113976,30.792384,31.206439,30.453590,30.234392,30.775800,30.756566,30.819330,DONE,
MaskRCNN-12-qdq.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,27.202929,0.227014,26.580732,27.375146,26.580732,27.375146,27.252779,27.241884,27.305639,27.291810,27.146844,27.225765,27.291276,27.317420,DONE,
MaskRCNN-12-qdq_disable_all.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,53.578913,0.109630,53.402361,53.778756,53.546417,53.693420,53.588982,53.565096,53.570070,53.578470,53.402361,53.437211,53.778756,53.628345,DONE,
MaskRCNN-12-qdq_basic.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,53.726849,0.273915,53.489750,54.348006,54.092381,53.611764,54.348006,53.658302,53.671679,53.569817,53.650437,53.489750,53.518697,53.657652,DONE,
MaskRCNN-12-qdq_extended.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,27.501412,0.054915,27.428364,27.584103,27.507750,27.531365,27.447786,27.558853,27.498370,27.428364,27.584103,27.552820,27.466304,27.438406,DONE,
ResNet101-DUC-12.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,default,CPUExecutionProvider,5,10,1912.255651,1.717376,1909.358369,1915.687375,1912.553824,1911.118346,1911.395450,1913.663540,1909.358369,1915.687375,1912.518467,1912.672701,1910.899748,1912.688689,DONE,
ResNet101-DUC-12_disable_all.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,disable_all,CPUExecutionProvider,5,10,2504.007977,3.664190,2501.225279,2511.256279,2501.463915,2508.673285,2507.390601,2501.225279,2502.303396,2511.256279,2501.758496,2501.352337,2502.001286,2502.654892,DONE,
ResNet101-DUC-12_basic.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,basic,CPUExecutionProvider,5,10,2378.565534,2.521417,2375.891429,2381.992314,2376.820391,2381.992314,2380.234422,2375.900203,2375.891429,2380.891704,2381.758145,2376.774610,2376.104470,2379.287654,DONE,
