model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,68.452350,0.430015,68.107733,69.502889,69.502889,68.149009,68.643665,68.128569,68.107733,68.200516,68.765796,68.270768,68.412335,68.342225,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,70.674631,0.064819,70.563822,70.765365,70.717762,70.673715,70.722762,70.629045,70.563822,70.670883,70.765365,70.594813,70.742332,70.665814,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,69.932406,0.326068,69.352253,70.208635,70.186820,70.208635,70.112718,70.191717,69.370755,70.041354,70.134270,69.892384,69.833151,69.352253,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,70.105939,0.116824,69.923362,70.338160,70.151951,70.112162,70.120731,70.097493,70.011899,69.923362,70.148101,70.180024,69.975502,70.338160,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,67.748514,0.350752,67.476085,68.645417,67.629180,67.476085,68.645417,67.774767,67.575777,68.019735,67.540281,67.567258,67.679062,67.577575,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,70.506034,0.203113,70.273172,71.016490,71.016490,70.566247,70.522435,70.537088,70.351403,70.427915,70.550162,70.394489,70.420943,70.273172,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,69.957093,0.078772,69.827729,70.073932,69.943163,70.046774,70.035442,69.969218,69.867926,70.073932,69.955422,69.903223,69.948098,69.827729,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,70.212163,0.202749,69.997952,70.720262,70.125952,69.997952,70.163579,70.027872,70.201058,70.120207,70.229133,70.208235,70.327376,70.720262,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,41.445369,0.419767,40.704151,42.236028,40.704151,41.166703,41.059715,41.501566,41.708586,41.535820,42.236028,41.420056,41.756896,41.364168,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,41.707391,0.167657,41.488414,42.041841,41.488414,41.813568,41.594625,41.767954,42.041841,41.715666,41.694599,41.514536,41.839039,41.603667,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,42.315726,0.231497,41.949119,42.727368,42.727368,41.949119,42.102978,42.453310,42.175432,42.273762,42.123951,42.478388,42.421759,42.451197,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,41.659513,0.331835,41.358713,42.559050,41.548976,41.664192,41.605557,41.358713,41.644965,41.603591,41.427800,41.520966,41.661317,42.559050,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,43.033942,0.186127,42.851302,43.405813,43.405813,42.927695,42.886040,42.851302,43.051677,43.006104,42.954030,43.331770,42.979719,42.945274,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,81.780232,0.217452,81.453262,82.191329,82.191329,81.834582,81.603040,81.717353,81.687705,81.839639,81.453262,81.617856,81.808840,82.048710,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,82.418909,0.324356,81.974982,82.952079,82.452083,82.952079,82.358563,81.984166,82.911112,81.974982,82.496329,82.431814,82.288194,82.339770,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,43.048308,0.109225,42.929787,43.299919,43.062928,43.045719,42.985948,42.952492,42.929787,43.299919,43.084960,43.131619,43.031778,42.957934,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,83.990906,0.249971,83.758606,84.641878,84.122211,83.961181,83.925886,84.641878,83.821841,83.825815,83.982842,83.935240,83.758606,83.933564,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,91.674558,0.145990,91.440404,91.852332,91.816233,91.844183,91.671333,91.615952,91.478191,91.682567,91.757226,91.852332,91.587159,91.440404,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,90.314900,0.172523,90.093122,90.660901,90.660901,90.279842,90.385247,90.138491,90.301698,90.156752,90.298929,90.504712,90.093122,90.329311,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,90.473597,0.187329,90.155897,90.779193,90.558814,90.567829,90.302053,90.324880,90.658799,90.366993,90.458812,90.562703,90.155897,90.779193,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,83.662796,0.090887,83.472232,83.796810,83.766713,83.796810,83.629907,83.719072,83.620431,83.472232,83.629292,83.627959,83.689620,83.675919,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,91.309766,0.210607,90.951508,91.668528,91.209120,91.668528,91.306769,91.456334,90.951508,91.162977,91.129739,91.464857,91.263738,91.484088,DONE,
MaskRCNN-12_basic.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,basic,CPUExecutionProvider,5,10,90.904468,0.272789,90.349061,91.179428,91.179428,90.349061,91.173162,91.156082,90.799462,90.767825,91.080925,90.643863,91.041508,90.853367,DONE,
MaskRCNN-12_extended.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,extended,CPUExecutionProvider,5,10,90.639407,0.186766,90.344549,90.839563,90.798084,90.831143,90.626979,90.839563,90.644112,90.344549,90.483359,90.723738,90.748521,90.354022,DONE,
MaskRCNN-12-int8.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,52.410132,0.092776,52.257259,52.519945,52.505793,52.508502,52.308519,52.336956,52.257259,52.481195,52.417691,52.361266,52.519945,52.404195,DONE,
MaskRCNN-12-int8_disable_all.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,52.889879,0.105805,52.706395,53.047680,52.966265,52.913092,52.839894,52.822402,53.003451,53.047680,52.706395,52.770165,52.902572,52.926870,DONE,
MaskRCNN-12-int8_basic.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,53.431026,0.109757,53.296175,53.616785,53.359240,53.533044,53.401963,53.367685,53.388864,53.317744,53.456043,53.572713,53.616785,53.296175,DONE,
MaskRCNN-12-int8_extended.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,52.581551,0.211190,52.299562,52.984950,52.545741,52.466797,52.768303,52.299562,52.413755,52.429877,52.793943,52.634673,52.477908,52.984950,DONE,
MaskRCNN-12-qdq.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,45.398531,0.056696,45.304711,45.514123,45.410880,45.386409,45.514123,45.399110,45.427083,45.394954,45.439410,45.348996,45.359632,45.304711,DONE,
MaskRCNN-12-qdq_disable_all.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,97.191910,0.206803,96.883126,97.486585,97.107785,97.255587,97.486585,97.278931,97.070502,96.944663,97.369566,97.078157,97.444201,96.883126,DONE,
MaskRCNN-12-qdq_basic.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,97.767952,0.288933,97.442006,98.376824,97.442006,97.621309,97.751598,97.475684,97.859139,97.519509,98.376824,97.842242,98.067412,97.723796,DONE,
MaskRCNN-12-qdq_extended.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,45.607177,0.073428,45.513222,45.735839,45.646055,45.562771,45.644168,45.645934,45.671778,45.515478,45.513222,45.543984,45.735839,45.592540,DONE,
ResNet101-DUC-12.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,default,CPUExecutionProvider,5,10,7122.116983,1.029724,7120.990405,7124.293327,7121.735300,7121.967372,7121.178294,7121.688910,7122.638032,7124.293327,7122.103199,7121.293750,7123.281237,7120.990405,DONE,
ResNet101-DUC-12_disable_all.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,disable_all,CPUExecutionProvider,5,10,8880.802631,2.930007,8878.321956,8887.321758,8878.424447,8879.584769,8879.762022,8879.090862,8879.435379,8883.103736,8883.652679,8887.321758,8879.328698,8878.321956,DONE,
ResNet101-DUC-12_basic.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,basic,CPUExecutionProvider,5,10,8687.150813,1.410581,8684.958381,8689.945296,8687.203164,8686.115326,8684.958381,8686.660105,8689.945296,8687.906826,8686.295729,8688.036873,8688.163927,8686.222506,DONE,
ResNet101-DUC-12_extended.onnx,ResNet101-DUC-12.onnx,onnxmodelzoo/ResNet101-DUC-12,ResNet101-DUC-12.onnx,extended,CPUExecutionProvider,5,10,8665.652245,1.959607,8661.609926,8667.350049,8667.048760,8665.745499,8667.350049,8666.875457,8664.481256,8666.337112,8661.609926,8663.105977,8666.911920,8667.056498,DONE,
ResNet101-DUC-12-int8.onnx,ResNet101-DUC-12-int8.onnx,onnxmodelzoo/ResNet101-DUC-12-int8,ResNet101-DUC-12-int8.onnx,default,CPUExecutionProvider,5,10,2199.397987,0.415642,2198.508942,2199.996525,2199.886819,2199.996525,2199.579446,2199.115552,2199.562085,2199.378533,2199.388956,2199.282174,2198.508942,2199.280834,DONE,
ResNet101-DUC-12-int8_disable_all.onnx,ResNet101-DUC-12-int8.onnx,onnxmodelzoo/ResNet101-DUC-12-int8,ResNet101-DUC-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,2749.625700,0.855388,2748.622474,2750.959449,2750.959449,2749.119727,2750.869060,2749.294696,2748.794933,2750.561940,2749.517419,2749.400858,2748.622474,2749.116449,DONE,
ResNet101-DUC-12-int8_basic.onnx,ResNet101-DUC-12-int8.onnx,onnxmodelzoo/ResNet101-DUC-12-int8,ResNet101-DUC-12-int8.onnx,basic,CPUExecutionProvider,5,10,2749.896884,0.683235,2749.054269,2751.301587,2749.054269,2750.188090,2749.182936,2749.287332,2749.851182,2750.038151,2749.763736,2750.588572,2751.301587,2749.712982,DONE,
ResNet101-DUC-12-int8_extended.onnx,ResNet101-DUC-12-int8.onnx,onnxmodelzoo/ResNet101-DUC-12-int8,ResNet101-DUC-12-int8.onnx,extended,CPUExecutionProvider,5,10,2743.900530,0.323192,2743.555488,2744.476449,2743.710633,2744.332285,2743.799549,2743.663136,2743.867052,2744.181988,2743.556249,2743.555488,2744.476449,2743.862475,DONE,
adv_inception_v3_Opset16.onnx,adv_inception_v3_Opset16.onnx,onnxmodelzoo/adv_inception_v3_Opset16,adv_inception_v3_Opset16.onnx,default,CPUExecutionProvider,5,10,83.463629,0.097722,83.318820,83.633999,83.318820,83.479753,83.419686,83.397713,83.633999,83.467673,83.393890,83.597867,83.520517,83.406374,DONE,
adv_inception_v3_Opset16_disable_all.onnx,adv_inception_v3_Opset16.onnx,onnxmodelzoo/adv_inception_v3_Opset16,adv_inception_v3_Opset16.onnx,disable_all,CPUExecutionProvider,5,10,106.119252,0.174818,105.920784,106.505851,105.968919,106.156364,106.505851,105.970511,105.987206,106.161343,106.084645,106.215609,106.221293,105.920784,DONE,
adv_inception_v3_Opset16_basic.onnx,adv_inception_v3_Opset16.onnx,onnxmodelzoo/adv_inception_v3_Opset16,adv_inception_v3_Opset16.onnx,basic,CPUExecutionProvider,5,10,106.039639,0.286062,105.386269,106.460466,106.246840,106.029124,105.836468,106.135648,106.166057,105.923196,106.089342,105.386269,106.460466,106.122979,DONE,
adv_inception_v3_Opset16_extended.onnx,adv_inception_v3_Opset16.onnx,onnxmodelzoo/adv_inception_v3_Opset16,adv_inception_v3_Opset16.onnx,extended,CPUExecutionProvider,5,10,104.674512,0.160471,104.446457,104.945207,104.566483,104.585612,104.744607,104.718414,104.615773,104.916095,104.945207,104.666822,104.446457,104.539647,DONE,
