model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
repvgg_b2g4_Opset16_extended.onnx,repvgg_b2g4_Opset16.onnx,onnxmodelzoo/repvgg_b2g4_Opset16,repvgg_b2g4_Opset16.onnx,extended,CPUExecutionProvider,5,10,171.684487,6.691501,166.557065,185.585883,185.585883,169.419774,166.868994,166.557065,174.208554,181.567513,168.249335,168.595624,168.616374,167.175754,DONE,
repvgg_b2g4_Opset17.onnx,repvgg_b2g4_Opset17.onnx,onnxmodelzoo/repvgg_b2g4_Opset17,repvgg_b2g4_Opset17.onnx,default,CPUExecutionProvider,5,10,143.883314,2.954155,140.290237,148.292256,141.380587,141.034647,140.290237,142.165236,148.233037,148.292256,141.948827,145.972376,145.150027,144.365906,DONE,
repvgg_b2g4_Opset17_disable_all.onnx,repvgg_b2g4_Opset17.onnx,onnxmodelzoo/repvgg_b2g4_Opset17,repvgg_b2g4_Opset17.onnx,disable_all,CPUExecutionProvider,5,10,176.173216,4.397860,169.249765,183.504933,177.804093,169.361724,175.362643,176.967093,178.904284,169.249765,174.260453,176.926103,179.391073,183.504933,DONE,
repvgg_b2g4_Opset17_basic.onnx,repvgg_b2g4_Opset17.onnx,onnxmodelzoo/repvgg_b2g4_Opset17,repvgg_b2g4_Opset17.onnx,basic,CPUExecutionProvider,5,10,179.597496,8.302785,166.550954,189.055123,185.051223,183.285473,183.771743,189.055123,170.578554,186.321662,185.214473,178.399754,166.550954,167.746004,DONE,
repvgg_b2g4_Opset17_extended.onnx,repvgg_b2g4_Opset17.onnx,onnxmodelzoo/repvgg_b2g4_Opset17,repvgg_b2g4_Opset17.onnx,extended,CPUExecutionProvider,5,10,180.717070,10.448580,166.229654,191.947282,177.524013,188.873803,185.608322,186.225832,186.765683,190.351842,191.947282,166.800755,166.229654,166.843515,DONE,
repvgg_b2g4_Opset18.onnx,repvgg_b2g4_Opset18.onnx,onnxmodelzoo/repvgg_b2g4_Opset18,repvgg_b2g4_Opset18.onnx,default,CPUExecutionProvider,5,10,144.093966,2.948773,140.353007,147.153076,140.906587,141.109376,146.880557,145.048316,147.153076,146.911527,146.607706,145.269836,140.699676,140.353007,DONE,
repvgg_b2g4_Opset18_disable_all.onnx,repvgg_b2g4_Opset18.onnx,onnxmodelzoo/repvgg_b2g4_Opset18,repvgg_b2g4_Opset18.onnx,disable_all,CPUExecutionProvider,5,10,178.499640,8.227369,167.384914,188.345523,168.453724,169.281365,167.384914,172.795274,180.030653,182.247513,187.700343,184.628013,184.129082,188.345523,DONE,
repvgg_b2g4_Opset18_basic.onnx,repvgg_b2g4_Opset18.onnx,onnxmodelzoo/repvgg_b2g4_Opset18,repvgg_b2g4_Opset18.onnx,basic,CPUExecutionProvider,5,10,177.953432,7.727743,168.497524,186.350333,181.547533,184.141273,185.275442,170.807945,168.885074,168.497524,186.350333,186.295842,178.134534,169.598824,DONE,
repvgg_b2g4_Opset18_extended.onnx,repvgg_b2g4_Opset18.onnx,onnxmodelzoo/repvgg_b2g4_Opset18,repvgg_b2g4_Opset18.onnx,extended,CPUExecutionProvider,5,10,173.268042,7.100015,166.618964,185.555823,167.570105,168.057854,180.174193,183.407813,185.555823,172.303384,166.618964,170.168185,167.400495,171.423604,DONE,
repvgg_b3_Opset16.onnx,repvgg_b3_Opset16.onnx,onnxmodelzoo/repvgg_b3_Opset16,repvgg_b3_Opset16.onnx,default,CPUExecutionProvider,5,10,332.976218,11.577921,316.353460,345.516238,316.832000,316.353460,318.296631,336.118888,345.373748,338.500338,333.012499,345.516238,341.795668,337.962709,DONE,
repvgg_b3_Opset16_disable_all.onnx,repvgg_b3_Opset16.onnx,onnxmodelzoo/repvgg_b3_Opset16,repvgg_b3_Opset16.onnx,disable_all,CPUExecutionProvider,5,10,373.898020,13.818144,357.797607,396.743013,359.041727,376.298625,357.797607,359.268337,396.743013,383.896894,378.708644,390.849523,364.934516,371.441316,DONE,
repvgg_b3_Opset16_basic.onnx,repvgg_b3_Opset16.onnx,onnxmodelzoo/repvgg_b3_Opset16,repvgg_b3_Opset16.onnx,basic,CPUExecutionProvider,5,10,371.008324,12.982948,357.464077,389.746674,366.296726,384.140774,358.236777,374.894575,389.575473,389.746674,360.568117,370.629036,358.531006,357.464077,DONE,
repvgg_b3_Opset16_extended.onnx,repvgg_b3_Opset16.onnx,onnxmodelzoo/repvgg_b3_Opset16,repvgg_b3_Opset16.onnx,extended,CPUExecutionProvider,5,10,378.375861,13.672540,359.403927,396.427674,395.242283,367.118796,368.832786,371.943705,385.168254,359.403927,396.427674,379.470054,394.215763,365.935366,DONE,
repvgg_b3_Opset17.onnx,repvgg_b3_Opset17.onnx,onnxmodelzoo/repvgg_b3_Opset17,repvgg_b3_Opset17.onnx,default,CPUExecutionProvider,5,10,318.422872,4.169346,313.635251,326.425440,319.061940,318.689951,317.454950,314.059171,315.191370,326.425440,315.720430,323.692540,320.297680,313.635251,DONE,
repvgg_b3_Opset17_disable_all.onnx,repvgg_b3_Opset17.onnx,onnxmodelzoo/repvgg_b3_Opset17,repvgg_b3_Opset17.onnx,disable_all,CPUExecutionProvider,5,10,375.527282,13.266992,357.305076,396.875832,396.875832,375.816415,359.621787,374.751375,366.476166,357.305076,366.949495,379.102125,388.423564,389.950984,DONE,
repvgg_b3_Opset17_basic.onnx,repvgg_b3_Opset17.onnx,onnxmodelzoo/repvgg_b3_Opset17,repvgg_b3_Opset17.onnx,basic,CPUExecutionProvider,5,10,369.058532,11.755531,359.356426,389.177214,387.044344,361.729557,359.356426,360.025147,380.356694,366.360836,364.598886,360.574116,361.362096,389.177214,DONE,
repvgg_b3_Opset17_extended.onnx,repvgg_b3_Opset17.onnx,onnxmodelzoo/repvgg_b3_Opset17,repvgg_b3_Opset17.onnx,extended,CPUExecutionProvider,5,10,383.575384,17.141405,365.350715,414.595621,414.595621,397.696393,382.614185,366.628006,384.925775,396.108723,394.722983,365.350715,366.535836,366.575606,DONE,
repvgg_b3_Opset18.onnx,repvgg_b3_Opset18.onnx,onnxmodelzoo/repvgg_b3_Opset18,repvgg_b3_Opset18.onnx,default,CPUExecutionProvider,5,10,320.410342,3.683293,312.182200,324.279010,312.182200,316.817921,321.502179,319.102851,323.720839,323.588310,319.935001,324.279010,321.392150,321.582960,DONE,
repvgg_b3_Opset18_disable_all.onnx,repvgg_b3_Opset18.onnx,onnxmodelzoo/repvgg_b3_Opset18,repvgg_b3_Opset18.onnx,disable_all,CPUExecutionProvider,5,10,373.503654,14.234402,358.424476,394.333634,394.333634,360.892836,362.722456,358.424476,370.040975,367.823746,361.072727,375.783605,392.664103,391.277983,DONE,
repvgg_b3_Opset18_basic.onnx,repvgg_b3_Opset18.onnx,onnxmodelzoo/repvgg_b3_Opset18,repvgg_b3_Opset18.onnx,basic,CPUExecutionProvider,5,10,374.066870,13.386804,360.456166,394.664033,360.456166,361.234736,361.415106,363.021487,390.658953,389.043544,375.355074,377.403985,367.415616,394.664033,DONE,
repvgg_b3_Opset18_extended.onnx,repvgg_b3_Opset18.onnx,onnxmodelzoo/repvgg_b3_Opset18,repvgg_b3_Opset18.onnx,extended,CPUExecutionProvider,5,10,382.222900,15.328559,360.265966,411.744031,360.265966,367.564786,376.834005,377.879185,400.839523,380.805494,375.233655,379.246944,391.815414,411.744031,DONE,
repvgg_b3g4_Opset16.onnx,repvgg_b3g4_Opset16.onnx,onnxmodelzoo/repvgg_b3g4_Opset16,repvgg_b3g4_Opset16.onnx,default,CPUExecutionProvider,5,10,201.304880,3.152952,195.455582,206.200660,199.471021,202.428370,195.455582,197.796152,202.490071,200.066831,203.963751,203.312681,201.863681,206.200660,DONE,
repvgg_b3g4_Opset16_disable_all.onnx,repvgg_b3g4_Opset16.onnx,onnxmodelzoo/repvgg_b3g4_Opset16,repvgg_b3g4_Opset16.onnx,disable_all,CPUExecutionProvider,5,10,234.643542,4.877831,228.863498,241.912267,241.912267,235.757598,241.024018,240.386738,231.677538,228.863498,234.147998,231.924318,230.438099,230.303349,DONE,
repvgg_b3g4_Opset16_basic.onnx,repvgg_b3g4_Opset16.onnx,onnxmodelzoo/repvgg_b3g4_Opset16,repvgg_b3g4_Opset16.onnx,basic,CPUExecutionProvider,5,10,245.416392,7.935715,230.306139,251.295736,250.739606,241.452688,232.451288,230.306139,250.082887,249.134337,248.201566,251.295736,251.164017,249.335656,DONE,
repvgg_b3g4_Opset16_extended.onnx,repvgg_b3g4_Opset16.onnx,onnxmodelzoo/repvgg_b3g4_Opset16,repvgg_b3g4_Opset16.onnx,extended,CPUExecutionProvider,5,10,244.145328,7.797439,230.452658,252.051656,248.779797,252.051656,251.482696,240.965758,230.452658,231.400828,247.647497,245.982577,249.811687,242.878127,DONE,
repvgg_b3g4_Opset17.onnx,repvgg_b3g4_Opset17.onnx,onnxmodelzoo/repvgg_b3g4_Opset17,repvgg_b3g4_Opset17.onnx,default,CPUExecutionProvider,5,10,199.501166,1.891706,196.043451,201.975181,199.979872,200.147992,200.866441,196.479202,196.043451,201.044301,199.653662,199.229421,201.975181,199.592141,DONE,
repvgg_b3g4_Opset17_disable_all.onnx,repvgg_b3g4_Opset17.onnx,onnxmodelzoo/repvgg_b3g4_Opset17,repvgg_b3g4_Opset17.onnx,disable_all,CPUExecutionProvider,5,10,251.928851,2.817759,249.003346,258.749337,249.003346,250.391767,250.267537,253.960126,250.575837,253.466486,251.116256,258.749337,250.689750,251.068070,DONE,
repvgg_b3g4_Opset17_basic.onnx,repvgg_b3g4_Opset17.onnx,onnxmodelzoo/repvgg_b3g4_Opset17,repvgg_b3g4_Opset17.onnx,basic,CPUExecutionProvider,5,10,237.869672,7.516683,230.448151,249.616060,239.404130,247.633410,246.822180,233.924862,249.616060,231.210031,230.448151,235.845991,232.953591,230.838312,DONE,
repvgg_b3g4_Opset17_extended.onnx,repvgg_b3g4_Opset17.onnx,onnxmodelzoo/repvgg_b3g4_Opset17,repvgg_b3g4_Opset17.onnx,extended,CPUExecutionProvider,5,10,248.463806,10.654586,233.698051,264.691909,233.698051,237.370351,237.402711,264.691909,260.884398,256.997089,252.625490,241.576070,249.747070,249.644919,DONE,
repvgg_b3g4_Opset18.onnx,repvgg_b3g4_Opset18.onnx,onnxmodelzoo/repvgg_b3g4_Opset18,repvgg_b3g4_Opset18.onnx,default,CPUExecutionProvider,5,10,198.164660,2.215913,195.374574,201.078944,201.078944,198.392044,196.478874,198.263514,195.374574,200.636674,195.659844,195.793024,200.419194,199.549914,DONE,
repvgg_b3g4_Opset18_disable_all.onnx,repvgg_b3g4_Opset18.onnx,onnxmodelzoo/repvgg_b3g4_Opset18,repvgg_b3g4_Opset18.onnx,disable_all,CPUExecutionProvider,5,10,244.607436,7.548902,233.067111,251.845960,249.167559,249.887760,248.064400,235.774861,251.462729,247.351510,251.845960,246.301920,233.150551,233.067111,DONE,
repvgg_b3g4_Opset18_basic.onnx,repvgg_b3g4_Opset18.onnx,onnxmodelzoo/repvgg_b3g4_Opset18,repvgg_b3g4_Opset18.onnx,basic,CPUExecutionProvider,5,10,241.705518,7.991873,231.215171,253.224730,232.376682,241.971210,249.869479,248.062060,233.969221,248.056469,253.224730,242.672370,231.215171,235.637791,DONE,
repvgg_b3g4_Opset18_extended.onnx,repvgg_b3g4_Opset18.onnx,onnxmodelzoo/repvgg_b3g4_Opset18,repvgg_b3g4_Opset18.onnx,extended,CPUExecutionProvider,5,10,239.645497,9.196648,229.416111,253.015400,232.636932,229.416111,231.362202,240.964131,247.401959,250.798479,246.883590,230.551971,233.424191,253.015400,DONE,
