model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,83.805870,12.982661,66.873946,105.096844,94.148014,76.718616,98.440222,68.167683,80.535578,92.073562,80.706455,66.873946,75.297780,105.096844,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,75.541005,18.380383,51.885475,109.946437,83.363706,96.788699,109.946437,85.118024,74.564111,60.064097,51.885475,58.377727,63.571973,71.729801,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,57.944089,2.774280,52.459303,61.621763,60.138680,58.847808,57.100350,61.621763,58.668324,54.595015,58.007161,60.634754,57.367729,52.459303,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,60.942108,7.614672,52.296191,73.933879,52.296191,70.892784,59.642283,65.678889,53.113932,73.933879,53.335307,59.304564,56.541938,64.681315,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,59.907471,9.169284,48.000288,78.989435,78.989435,60.777869,49.643250,71.170461,58.886645,57.546652,48.000288,57.475497,58.111670,58.472947,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,61.695311,7.819547,48.483268,71.084581,53.943051,70.737449,58.539435,57.248101,56.314184,71.084581,64.745262,67.822441,68.035336,48.483268,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,73.501615,17.566608,51.934018,101.267966,95.438774,58.370366,92.950066,101.267966,61.760909,78.269787,51.934018,57.915356,68.205174,68.903731,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,84.504909,14.927183,66.113084,111.814418,85.109003,82.476673,73.251740,96.780123,95.711154,70.816151,93.905381,69.071359,111.814418,66.113084,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,39.492144,9.092263,30.458083,56.836594,56.836594,44.202077,45.657519,44.793396,44.747352,36.342405,30.618220,30.458083,30.525004,30.740789,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,29.643942,1.968571,27.639875,33.678687,28.224479,27.997891,28.650505,27.852474,27.639875,30.545985,29.478210,31.003405,31.367908,33.678687,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,53.897672,11.558430,35.500290,76.468664,48.585334,76.468664,65.317192,35.500290,44.657227,44.824565,54.392166,54.001221,57.271329,57.958728,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,47.296143,12.225658,33.144041,67.212610,52.808132,49.299058,67.212610,65.468243,46.081711,45.320921,46.515859,33.425089,33.685763,33.144041,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,42.951200,4.763182,32.361207,51.114454,43.938945,32.361207,44.314171,41.381651,43.796699,45.325284,41.696103,51.114454,40.328984,45.254503,DONE,
