model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,47.263232,0.280423,46.972541,47.919928,47.218290,47.171870,46.972541,47.337790,47.401680,47.193050,47.020251,47.919928,47.404050,46.992871,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,53.016803,1.512457,50.958653,54.913594,54.388046,54.913594,54.845220,54.256892,53.380835,51.959020,51.420581,51.693621,50.958653,52.351568,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,52.539635,2.809380,48.450491,58.132911,48.450491,55.187097,52.814685,52.258557,53.146214,53.571012,50.912923,49.206919,51.715540,58.132911,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,53.102561,0.602002,52.576222,54.348794,53.331408,53.048270,52.630762,54.348794,52.648651,52.576222,53.333918,53.800627,52.612141,52.694821,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,47.499154,0.505964,46.675296,48.469209,48.006770,47.592763,47.236384,47.336943,47.544323,47.721441,46.983965,46.675296,48.469209,47.424442,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,52.466535,0.876803,51.188314,53.654088,51.660801,51.188314,51.209434,52.975975,52.529555,53.607038,52.712973,53.654088,52.591772,52.535404,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,52.591111,0.867440,51.164861,53.596317,51.610648,51.164861,51.794406,53.541627,52.619212,52.905890,52.237875,52.894630,53.596317,53.545647,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,51.715429,0.719207,50.359771,53.088505,52.362249,51.792713,53.088505,51.763402,52.067831,51.329195,51.297225,51.533784,51.559614,50.359771,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,41.029819,0.353905,40.698944,41.949156,40.877375,40.947215,40.998565,41.216792,40.761096,40.896795,40.902275,40.698944,41.949156,41.049981,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,40.468284,1.029978,39.398376,42.202170,39.588585,39.464556,39.398376,39.747714,39.863323,40.885997,40.505059,41.083886,41.943171,42.202170,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,41.022671,0.470124,40.013505,41.656164,41.454905,40.744721,40.769470,41.325206,41.347677,40.817879,41.028799,41.068388,41.656164,40.013505,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,39.429478,0.866518,38.564166,41.046121,40.303796,39.223622,40.517344,41.046121,38.959694,39.098823,38.776195,39.118063,38.564166,38.686955,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,41.742146,1.031079,40.530616,44.450992,41.477281,44.450992,41.460400,41.186713,41.602879,41.256812,41.862137,41.676169,41.917458,40.530616,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,75.254476,3.097823,69.831864,78.720644,69.831864,74.204235,78.384778,78.591565,78.720644,74.912376,73.205898,78.112115,74.456509,72.124775,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,73.025792,3.971399,69.142633,82.108593,73.984820,70.043706,69.142633,70.276445,72.337001,70.766912,72.589399,71.600626,77.407787,82.108593,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,41.686901,0.512974,40.520204,42.304621,41.910264,42.255032,41.366117,41.588816,41.511147,42.304621,42.003563,41.769975,41.639276,40.520204,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,60.235554,0.646015,59.437118,61.700881,59.990514,59.437118,59.897235,61.700881,60.511276,60.400488,59.727673,60.564977,59.697053,60.428328,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,72.863331,5.935259,64.092301,78.216086,64.092301,64.277680,76.665453,76.496504,75.568022,75.786740,76.636103,64.602446,78.216086,76.291973,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,75.220071,2.027983,73.100806,78.197475,77.338932,76.039162,74.477855,78.046766,73.231104,73.135316,74.421776,73.100806,74.211517,78.197475,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,67.706904,5.212795,61.882188,73.063264,62.309537,61.970769,64.352669,63.578673,61.882188,73.063264,72.814916,72.388989,72.805766,71.902273,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,58.742211,1.276243,56.382032,60.238656,56.382032,57.504672,57.523070,58.129504,59.318304,59.345234,60.026488,59.602032,59.352114,60.238656,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,76.235762,2.438824,73.054530,80.653545,76.636131,75.912147,80.653545,78.640500,75.715306,74.321379,75.310959,73.054530,73.507966,78.605160,DONE,
MaskRCNN-12_basic.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,basic,CPUExecutionProvider,5,10,75.496555,1.434032,73.192017,77.449488,77.449488,73.192017,75.731695,73.533853,76.016809,75.085827,75.371035,76.948050,76.981699,74.655081,DONE,
MaskRCNN-12_extended.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,extended,CPUExecutionProvider,5,10,62.461570,1.386292,61.134404,66.110179,66.110179,62.067916,61.998056,61.864288,61.134404,62.411072,63.078164,61.959465,62.458559,61.533598,DONE,
MaskRCNN-12-int8.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,49.627578,1.016472,48.202765,50.780573,50.331467,50.777932,50.306257,50.780573,50.357816,49.652481,48.372904,48.202765,48.761350,48.732230,DONE,
MaskRCNN-12-int8_disable_all.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,51.492621,0.471529,50.897704,52.408232,51.425761,52.408232,51.173881,50.897704,52.092643,51.713697,51.567608,51.119592,51.115062,51.412029,DONE,
MaskRCNN-12-int8_basic.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,49.910419,1.401687,48.786839,53.621363,50.026888,49.724710,49.500342,50.088047,48.939838,48.786839,50.222825,49.233135,48.960207,53.621363,DONE,
MaskRCNN-12-int8_extended.onnx,MaskRCNN-12-int8.onnx,onnxmodelzoo/MaskRCNN-12-int8,MaskRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,51.487696,1.154911,50.138931,53.721966,50.138931,50.637566,51.362630,50.244610,51.950014,53.036873,51.539797,51.007902,51.236671,53.721966,DONE,
MaskRCNN-12-qdq.onnx,MaskRCNN-12-qdq.onnx,onnxmodelzoo/MaskRCNN-12-qdq,MaskRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,43.908395,0.421289,43.426211,44.884837,43.971355,43.426211,43.651049,44.146803,44.884837,44.155884,43.639389,43.717858,43.570270,43.920295,DONE,
