model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,43.704946,0.443283,43.141240,44.596268,43.350704,43.799302,44.141870,43.895592,43.731431,43.416708,44.596268,43.729913,43.246437,43.141240,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,46.142431,0.492463,45.721515,47.423135,46.069482,45.721515,46.011461,45.802225,46.227543,45.863281,45.944516,47.423135,46.404006,45.957150,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,45.555312,0.707777,44.903645,47.300244,44.966768,45.412179,45.214883,46.092686,45.292165,45.122367,45.597730,44.903645,45.650456,47.300244,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,45.291004,0.459105,44.711851,45.864963,44.937476,44.711851,45.607113,44.944695,45.307745,45.807361,45.129223,45.864963,45.844822,44.754792,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,43.338015,1.099113,42.596997,46.341925,42.899768,42.923109,42.969051,42.777845,43.266688,42.596997,46.341925,43.566985,43.353961,42.683822,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,45.660284,1.437087,44.829759,49.700762,45.094964,45.421488,45.344558,45.066281,45.197424,45.604750,45.325219,45.017632,44.829759,49.700762,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,45.521296,1.488691,44.806908,49.661182,45.885717,45.094917,45.174017,44.806908,44.852110,45.052229,44.999235,44.874447,44.812202,49.661182,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,46.331507,2.648726,44.697413,51.403635,45.520018,45.089281,45.135446,44.697413,44.972194,45.241152,44.834473,51.274397,51.403635,45.147063,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,30.371081,0.839371,29.666123,32.062682,31.789319,32.062682,30.161264,30.134433,29.883537,29.740959,29.666123,30.083938,30.110701,30.077851,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,30.843842,1.138622,30.075844,33.446525,30.390480,30.432636,30.291396,30.075844,30.491136,30.100966,32.418139,33.446525,30.211116,30.580184,DONE,
