model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,32.281057,0.251572,31.981837,32.640132,32.640132,32.597474,32.179925,32.543234,32.451885,31.981837,32.092488,32.048389,32.215096,32.060112,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,33.809857,0.332018,33.219032,34.194439,34.114984,34.073755,34.019624,34.194439,33.949636,33.657077,33.478697,33.461384,33.219032,33.929939,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,34.044022,0.342017,33.733717,34.745472,34.234899,33.832054,33.895360,34.480443,33.733717,33.803449,34.081377,34.745472,33.879709,33.753744,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,33.845582,0.232484,33.407545,34.142979,33.763671,33.998478,34.139120,33.923484,33.838664,33.603620,34.142979,33.928224,33.710033,33.407545,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,33.090289,1.679650,31.950554,36.623335,31.965970,32.224044,32.281313,31.950554,32.498719,32.109897,32.316903,33.192142,36.623335,35.740016,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,33.191462,0.345049,32.694302,33.577316,33.327935,33.466335,33.577316,33.338826,32.752002,33.421019,32.694302,33.473751,32.709104,33.154025,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,33.684691,0.324638,33.146627,34.073334,33.779979,33.315709,34.010778,34.073334,33.752689,33.340055,33.989082,33.146627,33.581601,33.857059,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,33.600797,0.190519,33.214849,33.891854,33.891854,33.678089,33.405811,33.214849,33.624882,33.494974,33.665913,33.778793,33.626865,33.625940,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,26.136484,1.647983,24.916526,29.827665,25.417206,29.827665,28.495300,25.815843,25.508442,25.419564,25.604524,24.931130,24.916526,25.428637,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,26.371793,1.366055,25.193225,29.684515,25.879948,25.971088,25.735293,25.824792,25.764537,25.882798,29.684515,27.934473,25.847261,25.193225,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,26.662789,1.243802,25.957843,29.578011,26.182241,26.101125,25.992345,29.578011,28.323457,26.137570,26.164412,25.957843,26.039740,26.151142,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,26.412842,1.466642,25.548419,29.495954,25.711480,25.758699,29.495954,28.859486,25.805814,25.788138,25.740403,25.740117,25.548419,25.679905,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,25.890839,0.439232,25.496219,27.069579,25.590787,25.752380,25.736770,25.769650,25.893021,25.752045,25.496219,26.029030,27.069579,25.818905,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,45.176026,0.073244,45.045451,45.328120,45.207463,45.215145,45.161050,45.124260,45.143323,45.180142,45.328120,45.045451,45.149505,45.205805,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,45.354183,0.203601,45.099907,45.698774,45.099907,45.401131,45.698774,45.223823,45.259831,45.188383,45.431413,45.247539,45.299553,45.691479,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,26.614207,0.329796,25.784575,26.975695,26.975695,26.827548,26.573166,26.671760,25.784575,26.623667,26.720121,26.521889,26.904066,26.539580,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,37.696114,0.186087,37.549005,38.130361,37.798729,38.130361,37.615244,37.595692,37.549005,37.563858,37.833681,37.562584,37.564273,37.747711,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,44.743496,0.135880,44.542286,45.037415,44.735202,44.702475,44.783564,44.670691,44.658378,45.037415,44.826480,44.829988,44.542286,44.648484,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,43.740772,1.077376,43.151253,46.609597,44.174223,43.209179,46.609597,43.232006,43.248149,43.168513,44.081252,43.312714,43.220833,43.151253,DONE,
MaskRCNN-10_extended.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,extended,CPUExecutionProvider,5,10,43.673127,0.159204,43.393624,43.893613,43.794698,43.694301,43.393624,43.893613,43.605495,43.848752,43.708603,43.636053,43.700596,43.455538,DONE,
MaskRCNN-12.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,default,CPUExecutionProvider,5,10,37.489054,0.085959,37.354902,37.652121,37.543757,37.354902,37.540380,37.445494,37.520127,37.489119,37.395765,37.520767,37.428107,37.652121,DONE,
MaskRCNN-12_disable_all.onnx,MaskRCNN-12.onnx,onnxmodelzoo/MaskRCNN-12,MaskRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,45.283999,1.671032,44.309283,48.714750,44.491844,44.943814,44.329272,44.309283,48.136405,48.714750,44.603586,44.466027,44.379814,44.465191,DONE,
