model,base_model,repo_id,repo_file,optimization_variant,provider,warmup_runs,sample_runs,average_ms,stddev_ms,min_ms,max_ms,sample_1_ms,sample_2_ms,sample_3_ms,sample_4_ms,sample_5_ms,sample_6_ms,sample_7_ms,sample_8_ms,sample_9_ms,sample_10_ms,status,error
FasterRCNN-10.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,default,CPUExecutionProvider,5,10,48.595256,0.175556,48.314183,48.839646,48.839646,48.647172,48.662808,48.314183,48.456207,48.627369,48.796243,48.496751,48.386003,48.726173,DONE,
FasterRCNN-10_disable_all.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,52.182678,0.346405,51.861438,53.075520,51.899563,51.861438,52.115753,52.002809,52.319121,53.075520,52.296967,52.095597,52.046290,52.113726,DONE,
FasterRCNN-10_basic.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,basic,CPUExecutionProvider,5,10,50.163553,0.172529,49.827404,50.340234,50.340234,49.990408,50.132260,50.245359,50.334125,50.047058,50.110971,49.827404,50.328691,50.279015,DONE,
FasterRCNN-10_extended.onnx,FasterRCNN-10.onnx,onnxmodelzoo/FasterRCNN-10,FasterRCNN-10.onnx,extended,CPUExecutionProvider,5,10,50.431558,0.229744,50.208664,50.872685,50.701946,50.536350,50.233507,50.321973,50.405338,50.564258,50.225116,50.872685,50.208664,50.245744,DONE,
FasterRCNN-12.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,default,CPUExecutionProvider,5,10,47.980987,0.106251,47.838604,48.200577,48.200577,48.032146,48.042985,47.995638,47.937546,47.838604,47.980905,47.875651,47.875849,48.029965,DONE,
FasterRCNN-12_disable_all.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,disable_all,CPUExecutionProvider,5,10,50.290613,0.147324,50.119976,50.496991,50.209135,50.203130,50.391567,50.227017,50.147563,50.486538,50.119976,50.445011,50.179197,50.496991,DONE,
FasterRCNN-12_basic.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,basic,CPUExecutionProvider,5,10,49.497802,0.117503,49.331575,49.640644,49.453041,49.335100,49.481923,49.588660,49.331575,49.640644,49.634633,49.525915,49.394041,49.592484,DONE,
FasterRCNN-12_extended.onnx,FasterRCNN-12.onnx,onnxmodelzoo/FasterRCNN-12,FasterRCNN-12.onnx,extended,CPUExecutionProvider,5,10,49.546807,0.254229,49.257543,50.050497,49.640072,49.746186,49.441607,49.345795,49.257543,49.263378,49.483903,50.050497,49.462191,49.776896,DONE,
FasterRCNN-12-int8.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,default,CPUExecutionProvider,5,10,42.597113,0.309059,42.193706,43.117739,42.193706,42.300977,42.259608,42.446520,43.117739,42.875004,42.841710,42.688381,42.458242,42.789247,DONE,
FasterRCNN-12-int8_disable_all.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,disable_all,CPUExecutionProvider,5,10,43.386360,0.165731,43.129594,43.584624,43.418185,43.239775,43.474966,43.584624,43.568779,43.555973,43.382440,43.129594,43.168470,43.340789,DONE,
FasterRCNN-12-int8_basic.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,basic,CPUExecutionProvider,5,10,43.546505,0.100043,43.408335,43.728059,43.408335,43.728059,43.520220,43.578972,43.525922,43.525254,43.623680,43.459910,43.442591,43.652110,DONE,
FasterRCNN-12-int8_extended.onnx,FasterRCNN-12-int8.onnx,onnxmodelzoo/FasterRCNN-12-int8,FasterRCNN-12-int8.onnx,extended,CPUExecutionProvider,5,10,42.648456,0.287180,42.290058,43.034134,42.540563,42.519993,42.410444,42.292957,42.290058,42.656953,42.746825,43.028861,42.963774,43.034134,DONE,
FasterRCNN-12-qdq.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,default,CPUExecutionProvider,5,10,43.734950,0.094473,43.538304,43.829723,43.782841,43.538304,43.712646,43.761571,43.829723,43.828124,43.689957,43.829190,43.637162,43.739978,DONE,
FasterRCNN-12-qdq_disable_all.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,disable_all,CPUExecutionProvider,5,10,69.793697,0.417515,69.233372,70.522528,69.627208,70.522528,69.833542,69.313549,70.018241,69.689782,70.019541,69.422816,70.256393,69.233372,DONE,
FasterRCNN-12-qdq_basic.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,basic,CPUExecutionProvider,5,10,70.553457,0.739321,69.095017,71.643791,70.370496,70.029920,70.152807,70.463409,71.058837,71.643791,71.451793,70.795205,70.473298,69.095017,DONE,
FasterRCNN-12-qdq_extended.onnx,FasterRCNN-12-qdq.onnx,onnxmodelzoo/FasterRCNN-12-qdq,FasterRCNN-12-qdq.onnx,extended,CPUExecutionProvider,5,10,44.160069,0.247883,43.744119,44.517010,44.304925,44.400723,44.388575,44.220164,44.065599,44.060186,44.517010,44.021993,43.877395,43.744119,DONE,
MaskRCNN-10.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,default,CPUExecutionProvider,5,10,54.194023,0.290564,53.734929,54.656296,54.302608,54.042803,54.029942,54.309890,54.640796,54.656296,54.010826,54.182683,54.029456,53.734929,DONE,
MaskRCNN-10_disable_all.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,disable_all,CPUExecutionProvider,5,10,64.680826,0.285338,64.276986,65.228281,65.228281,64.958386,64.826785,64.704140,64.374176,64.511678,64.559211,64.554659,64.813962,64.276986,DONE,
MaskRCNN-10_basic.onnx,MaskRCNN-10.onnx,onnxmodelzoo/MaskRCNN-10,MaskRCNN-10.onnx,basic,CPUExecutionProvider,5,10,62.545433,0.290779,62.076150,62.900865,62.900865,62.197666,62.484744,62.076150,62.827896,62.898193,62.680287,62.529629,62.287635,62.571260,DONE,
